,question,proc_ques,tokens,words,stops
863,Why do straight guys often refer to women they are attracted to in gender-neutral terms?,why do straight guys often refer to women they are attracted to in gender neutral terms,"['Why', 'do', 'straight', 'guys', 'often', 'refer', 'to', 'women', 'they', 'are', 'attracted', 'to', 'in', 'gender-neutral', 'terms?']","{'terms?', 'straight', 'women', 'Why', 'refer', 'gender-neutral', 'guys', 'often', 'attracted'}","{'to', 'do', 'in', 'they', 'are'}"
864,Am I allowed to forbid my son to hang out with his friends for 3 months because he talked back at me?,am i allowed to forbid my son to hang out with his friends for 3 months because he talked back at me,"['Am', 'I', 'allowed', 'to', 'forbid', 'my', 'son', 'to', 'hang', 'out', 'with', 'his', 'friends', 'for', '3', 'months', 'because', 'he', 'talked', 'back', 'at', 'me?']","{'forbid', '3', 'me?', 'Am', 'friends', 'allowed', 'talked', 'back', 'hang', 'son', 'months', 'I'}","{'for', 'my', 'because', 'with', 'to', 'his', 'at', 'out', 'he'}"
865,What was your highest rank in the military and how did you get there?,what was your highest rank in the military and how did you get there,"['What', 'was', 'your', 'highest', 'rank', 'in', 'the', 'military', 'and', 'how', 'did', 'you', 'get', 'there?']","{'rank', 'get', 'there?', 'What', 'highest', 'military'}","{'you', 'your', 'did', 'was', 'how', 'in', 'and', 'the'}"
866,What are the functions of notified minerals?,what are the functions of notified minerals,"['What', 'are', 'the', 'functions', 'of', 'notified', 'minerals?']","{'notified', 'functions', 'minerals?', 'What'}","{'are', 'of', 'the'}"
867,What are notified minerals?,what are notified minerals,"['What', 'are', 'notified', 'minerals?']","{'notified', 'minerals?', 'What'}",{'are'}
868,What is the best Linux distro for laptops?,what is the best linux distro for laptops,"['What', 'is', 'the', 'best', 'Linux', 'distro', 'for', 'laptops?']","{'laptops?', 'What', 'best', 'Linux', 'distro'}","{'for', 'is', 'the'}"
869,What is be the best Linux distro to replace Windows on a laptop?,what is be the best linux distro to replace windows on a laptop,"['What', 'is', 'be', 'the', 'best', 'Linux', 'distro', 'to', 'replace', 'Windows', 'on', 'a', 'laptop?']","{'laptop?', 'Windows', 'replace', 'What', 'best', 'Linux', 'distro'}","{'be', 'to', 'a', 'is', 'the', 'on'}"
870,Does civil engineering have demand & job opportunities in Canada?,does civil engineering have demand   job opportunities in canada,"['Does', 'civil', 'engineering', 'have', 'demand', '&', 'job', 'opportunities', 'in', 'Canada?']","{'demand', 'civil', 'job', '&', 'engineering', 'Does', 'Canada?', 'opportunities'}","{'in', 'have'}"
871,How will the job opportunities for civil engineering in Canada be in the near future?,how will the job opportunities for civil engineering in canada be in the near future,"['How', 'will', 'the', 'job', 'opportunities', 'for', 'civil', 'engineering', 'in', 'Canada', 'be', 'in', 'the', 'near', 'future?']","{'Canada', 'near', 'future?', 'civil', 'How', 'job', 'engineering', 'opportunities'}","{'for', 'be', 'will', 'in', 'the'}"
872,Which are the best companies for a mechanical engineer?,which are the best companies for a mechanical engineer,"['Which', 'are', 'the', 'best', 'companies', 'for', 'a', 'mechanical', 'engineer?']","{'mechanical', 'Which', 'best', 'companies', 'engineer?'}","{'are', 'a', 'for', 'the'}"
873,Which are the best automobile companies in India for a mechanical engineer to work for?,which are the best automobile companies in india for a mechanical engineer to work for,"['Which', 'are', 'the', 'best', 'automobile', 'companies', 'in', 'India', 'for', 'a', 'mechanical', 'engineer', 'to', 'work', 'for?']","{'engineer', 'mechanical', 'for?', 'Which', 'best', 'companies', 'automobile', 'India', 'work'}","{'for', 'to', 'a', 'in', 'the', 'are'}"
874,How does one deal with being backstabbed by a hypocrite ?,how does one deal with being backstabbed by a hypocrite,"['How', 'does', 'one', 'deal', 'with', 'being', 'backstabbed', 'by', 'a', 'hypocrite', '?']","{'one', 'hypocrite', 'backstabbed', 'How', '?', 'deal'}","{'by', 'with', 'being', 'a', 'does'}"
875,How does one deal with being an affair to someone married?,how does one deal with being an affair to someone married,"['How', 'does', 'one', 'deal', 'with', 'being', 'an', 'affair', 'to', 'someone', 'married?']","{'affair', 'one', 'How', 'married?', 'someone', 'deal'}","{'with', 'being', 'to', 'does', 'an'}"
876,What might be the reason why my cat is so skinny?,what might be the reason why my cat is so skinny,"['What', 'might', 'be', 'the', 'reason', 'why', 'my', 'cat', 'is', 'so', 'skinny?']","{'reason', 'skinny?', 'might', 'What', 'cat'}","{'my', 'why', 'be', 'is', 'the', 'so'}"
877,Does the universe and stuff exist because it has to?,does the universe and stuff exist because it has to,"['Does', 'the', 'universe', 'and', 'stuff', 'exist', 'because', 'it', 'has', 'to?']","{'universe', 'exist', 'to?', 'stuff', 'Does'}","{'because', 'has', 'and', 'it', 'the'}"
878,"I want to learn one more language, what should I choose?",i want to learn one more language  what should i choose,"['I', 'want', 'to', 'learn', 'one', 'more', 'language,', 'what', 'should', 'I', 'choose?']","{'one', 'choose?', 'learn', 'language,', 'I', 'want'}","{'should', 'what', 'to', 'more'}"
879,"I want to learn a European language, which one I should choose?",i want to learn a european language  which one i should choose,"['I', 'want', 'to', 'learn', 'a', 'European', 'language,', 'which', 'one', 'I', 'should', 'choose?']","{'European', 'one', 'choose?', 'learn', 'language,', 'I', 'want'}","{'which', 'a', 'should', 'to'}"
880,Which is the best spoken English classes in Pune?,which is the best spoken english classes in pune,"['Which', 'is', 'the', 'best', 'spoken', 'English', 'classes', 'in', 'Pune?']","{'Which', 'best', 'Pune?', 'spoken', 'English', 'classes'}","{'in', 'is', 'the'}"
881,Which are best english spoken classes in pune?,which are best english spoken classes in pune,"['Which', 'are', 'best', 'english', 'spoken', 'classes', 'in', 'pune?']","{'pune?', 'Which', 'best', 'english', 'spoken', 'classes'}","{'are', 'in'}"
882,What makes some isotopes have an unstable nuclei and others not?,what makes some isotopes have an unstable nuclei and others not,"['What', 'makes', 'some', 'isotopes', 'have', 'an', 'unstable', 'nuclei', 'and', 'others', 'not?']","{'makes', 'What', 'unstable', 'others', 'not?', 'isotopes', 'nuclei'}","{'and', 'some', 'an', 'have'}"
883,What are some examples of isotopes?,what are some examples of isotopes,"['What', 'are', 'some', 'examples', 'of', 'isotopes?']","{'isotopes?', 'examples', 'What'}","{'are', 'of', 'some'}"
884,What are the different career scopes for a mechanical engineer after completion of B Tech?,what are the different career scopes for a mechanical engineer after completion of b tech,"['What', 'are', 'the', 'different', 'career', 'scopes', 'for', 'a', 'mechanical', 'engineer', 'after', 'completion', 'of', 'B', 'Tech?']","{'engineer', 'mechanical', 'scopes', 'What', 'B', 'career', 'different', 'completion', 'Tech?'}","{'for', 'of', 'a', 'the', 'are', 'after'}"
885,How can a mechanical engineer start his career at Hindusthan Aeronautics Limited or such aero compnaies with B tech alone?,how can a mechanical engineer start his career at hindusthan aeronautics limited or such aero compnaies with b tech alone,"['How', 'can', 'a', 'mechanical', 'engineer', 'start', 'his', 'career', 'at', 'Hindusthan', 'Aeronautics', 'Limited', 'or', 'such', 'aero', 'compnaies', 'with', 'B', 'tech', 'alone?']","{'engineer', 'mechanical', 'Limited', 'Hindusthan', 'How', 'Aeronautics', 'alone?', 'B', 'career', 'aero', 'tech', 'compnaies', 'start'}","{'or', 'such', 'with', 'his', 'at', 'a', 'can'}"
886,What is the main difference between a public Ltd. company and a private Ltd. company?,what is the main difference between a public ltd  company and a private ltd  company,"['What', 'is', 'the', 'main', 'difference', 'between', 'a', 'public', 'Ltd.', 'company', 'and', 'a', 'private', 'Ltd.', 'company?']","{'main', 'Ltd.', 'difference', 'public', 'What', 'company', 'private', 'company?'}","{'between', 'a', 'and', 'is', 'the'}"
887,"What is the difference between different types of companies like private limited company, public limited company, etc.?",what is the difference between different types of companies like private limited company  public limited company  etc,"['What', 'is', 'the', 'difference', 'between', 'different', 'types', 'of', 'companies', 'like', 'private', 'limited', 'company,', 'public', 'limited', 'company,', 'etc.?']","{'company,', 'difference', 'public', 'What', 'companies', 'limited', 'like', 'etc.?', 'different', 'private', 'types'}","{'of', 'between', 'is', 'the'}"
888,How do I calculate air temperature?,how do i calculate air temperature,"['How', 'do', 'I', 'calculate', 'air', 'temperature?']","{'calculate', 'air', 'temperature?', 'How', 'I'}",{'do'}
889,How air temperature be calculated?,how air temperature be calculated,"['How', 'air', 'temperature', 'be', 'calculated?']","{'temperature', 'air', 'How', 'calculated?'}",{'be'}
890,Are Samsung J5 and On7 Pro VoLte supported?,are samsung j5 and on7 pro volte supported,"['Are', 'Samsung', 'J5', 'and', 'On7', 'Pro', 'VoLte', 'supported?']","{'J5', 'Samsung', 'Are', 'Pro', 'supported?', 'On7', 'VoLte'}",{'and'}
891,What should I buy? Samsung On7 or On7 Pro or J5?,what should i buy  samsung on7 or on7 pro or j5,"['What', 'should', 'I', 'buy?', 'Samsung', 'On7', 'or', 'On7', 'Pro', 'or', 'J5?']","{'buy?', 'Samsung', 'J5?', 'What', 'Pro', 'On7', 'I'}","{'should', 'or'}"
892,What do foreigner think of Chinese?,what do foreigner think of chinese,"['What', 'do', 'foreigner', 'think', 'of', 'Chinese?']","{'Chinese?', 'think', 'foreigner', 'What'}","{'of', 'do'}"
893,What do you think of Chinese people?,what do you think of chinese people,"['What', 'do', 'you', 'think', 'of', 'Chinese', 'people?']","{'think', 'people?', 'Chinese', 'What'}","{'you', 'of', 'do'}"
894,What is the difference between kinase and phosphatase?,what is the difference between kinase and phosphatase,"['What', 'is', 'the', 'difference', 'between', 'kinase', 'and', 'phosphatase?']","{'kinase', 'phosphatase?', 'difference', 'What'}","{'between', 'and', 'is', 'the'}"
895,What is the difference between kinase and phosphatase and what are some examples?,what is the difference between kinase and phosphatase and what are some examples,"['What', 'is', 'the', 'difference', 'between', 'kinase', 'and', 'phosphatase', 'and', 'what', 'are', 'some', 'examples?']","{'difference', 'What', 'examples?', 'kinase', 'phosphatase'}","{'between', 'and', 'is', 'some', 'the', 'are', 'what'}"
896,What do candidates wear for an interview at Amazon in the D.C. Area?,what do candidates wear for an interview at amazon in the d c  area,"['What', 'do', 'candidates', 'wear', 'for', 'an', 'interview', 'at', 'Amazon', 'in', 'the', 'D.C.', 'Area?']","{'candidates', 'interview', 'What', 'Area?', 'wear', 'Amazon', 'D.C.'}","{'for', 'do', 'at', 'in', 'the', 'an'}"
897,"How can I reconcile with my ex? He recently broke up with me because of distance, but now because of work I may get to see him regularly.",how can i reconcile with my ex  he recently broke up with me because of distance  but now because of work i may get to see him regularly,"['How', 'can', 'I', 'reconcile', 'with', 'my', 'ex?', 'He', 'recently', 'broke', 'up', 'with', 'me', 'because', 'of', 'distance,', 'but', 'now', 'because', 'of', 'work', 'I', 'may', 'get', 'to', 'see', 'him', 'regularly.']","{'recently', 'regularly.', 'get', 'I', 'How', 'see', 'may', 'He', 'distance,', 'broke', 'ex?', 'work', 'reconcile'}","{'because', 'my', 'of', 'up', 'with', 'but', 'to', 'now', 'him', 'can', 'me'}"
898,I am 85 and I have not achieved much in life. Is it too late?,i am 85 and i have not achieved much in life  is it too late,"['I', 'am', '85', 'and', 'I', 'have', 'not', 'achieved', 'much', 'in', 'life.', 'Is', 'it', 'too', 'late?']","{'achieved', '85', 'late?', 'Is', 'much', 'life.', 'I'}","{'not', 'have', 'in', 'and', 'it', 'am', 'too'}"
899,I am 35 and I have not achieved much in life. Is it too late?,i am 35 and i have not achieved much in life  is it too late,"['I', 'am', '35', 'and', 'I', 'have', 'not', 'achieved', 'much', 'in', 'life.', 'Is', 'it', 'too', 'late?']","{'achieved', '35', 'late?', 'Is', 'much', 'life.', 'I'}","{'not', 'have', 'in', 'and', 'it', 'am', 'too'}"
900,How do microeconomics and macroeconomics differ?,how do microeconomics and macroeconomics differ,"['How', 'do', 'microeconomics', 'and', 'macroeconomics', 'differ?']","{'microeconomics', 'How', 'macroeconomics', 'differ?'}","{'and', 'do'}"
901,How does microeconomics relate to macroeconomics?,how does microeconomics relate to macroeconomics,"['How', 'does', 'microeconomics', 'relate', 'to', 'macroeconomics?']","{'relate', 'macroeconomics?', 'microeconomics', 'How'}","{'does', 'to'}"
902,Why does the US try hard to prevent Philippines from having a good relationship with its good neighbouring countries & Russia?,why does the us try hard to prevent philippines from having a good relationship with its good neighbouring countries   russia,"['Why', 'does', 'the', 'US', 'try', 'hard', 'to', 'prevent', 'Philippines', 'from', 'having', 'a', 'good', 'relationship', 'with', 'its', 'good', 'neighbouring', 'countries', '&', 'Russia?']","{'US', 'hard', 'good', 'neighbouring', 'Why', 'try', 'countries', 'prevent', 'relationship', '&', 'Russia?', 'Philippines'}","{'with', 'to', 'its', 'a', 'the', 'from', 'does', 'having'}"
903,"Why is the Modi government trying to improve military ties with the US (who supported Pakistan in the 1971 war) and Israel, rather than Russia (who prevented the UK and USA from attacking India in the same war)?",why is the modi government trying to improve military ties with the us  who supported pakistan in the 1971 war  and israel  rather than russia  who prevented the uk and usa from attacking india in the same war,"['Why', 'is', 'the', 'Modi', 'government', 'trying', 'to', 'improve', 'military', 'ties', 'with', 'the', 'US', '(who', 'supported', 'Pakistan', 'in', 'the', '1971', 'war)', 'and', 'Israel,', 'rather', 'than', 'Russia', '(who', 'prevented', 'the', 'UK', 'and', 'USA', 'from', 'attacking', 'India', 'in', 'the', 'same', 'war)?']","{'USA', 'US', 'Why', 'ties', 'improve', 'supported', 'government', 'military', 'rather', 'war)?', 'trying', '(who', 'Modi', 'India', 'prevented', 'war)', 'Russia', '1971', 'attacking', 'Pakistan', 'Israel,', 'UK'}","{'with', 'to', 'than', 'in', 'is', 'and', 'the', 'from', 'same'}"
904,"Quora: When are upvotes updated in your stats? I have gained 50 upvotes this week, but they have not shown up in the totaliser for the last seven days.",quora  when are upvotes updated in your stats  i have gained 50 upvotes this week  but they have not shown up in the totaliser for the last seven days,"['Quora:', 'When', 'are', 'upvotes', 'updated', 'in', 'your', 'stats?', 'I', 'have', 'gained', '50', 'upvotes', 'this', 'week,', 'but', 'they', 'have', 'not', 'shown', 'up', 'in', 'the', 'totaliser', 'for', 'the', 'last', 'seven', 'days.']","{'gained', 'Quora:', 'shown', 'totaliser', 'days.', 'seven', 'stats?', 'updated', 'upvotes', 'week,', 'last', '50', 'When', 'I'}","{'for', 'not', 'up', 'your', 'this', 'but', 'have', 'in', 'they', 'the', 'are'}"
905,Why did I miss my views and upvotes on Quora for 2 days last week?,why did i miss my views and upvotes on quora for 2 days last week,"['Why', 'did', 'I', 'miss', 'my', 'views', 'and', 'upvotes', 'on', 'Quora', 'for', '2', 'days', 'last', 'week?']","{'Quora', 'Why', 'miss', 'week?', 'days', '2', 'upvotes', 'last', 'views', 'I'}","{'for', 'my', 'did', 'and', 'on'}"
906,How do you convert whole numbers into fractions?,how do you convert whole numbers into fractions,"['How', 'do', 'you', 'convert', 'whole', 'numbers', 'into', 'fractions?']","{'numbers', 'fractions?', 'How', 'convert', 'whole'}","{'you', 'into', 'do'}"
907,How do you multiply a mixed number by a fraction?,how do you multiply a mixed number by a fraction,"['How', 'do', 'you', 'multiply', 'a', 'mixed', 'number', 'by', 'a', 'fraction?']","{'multiply', 'mixed', 'How', 'number', 'fraction?'}","{'you', 'a', 'by', 'do'}"
908,Can I learn ethical hacking after b Com graduation?,can i learn ethical hacking after b com graduation,"['Can', 'I', 'learn', 'ethical', 'hacking', 'after', 'b', 'Com', 'graduation?']","{'ethical', 'Com', 'learn', 'graduation?', 'b', 'hacking', 'I', 'Can'}",{'after'}
909,WHEN I press right click in blender it closes?,when i press right click in blender it closes,"['WHEN', 'I', 'press', 'right', 'click', 'in', 'blender', 'it', 'closes?']","{'blender', 'click', 'WHEN', 'closes?', 'right', 'press', 'I'}","{'in', 'it'}"
910,How can I identify a herpyllus ecclesiasticus?,how can i identify a herpyllus ecclesiasticus,"['How', 'can', 'I', 'identify', 'a', 'herpyllus', 'ecclesiasticus?']","{'identify', 'I', 'How', 'herpyllus', 'ecclesiasticus?'}","{'a', 'can'}"
911,What is the impact on the students doing part-time jobs?,what is the impact on the students doing part time jobs,"['What', 'is', 'the', 'impact', 'on', 'the', 'students', 'doing', 'part-time', 'jobs?']","{'impact', 'students', 'jobs?', 'What', 'part-time'}","{'on', 'doing', 'is', 'the'}"
912,What are the novels You can suggest that are worth reading?,what are the novels you can suggest that are worth reading,"['What', 'are', 'the', 'novels', 'You', 'can', 'suggest', 'that', 'are', 'worth', 'reading?']","{'worth', 'reading?', 'You', 'What', 'novels', 'suggest'}","{'are', 'can', 'that', 'the'}"
913,Can you Suggest me some good novels to read?,can you suggest me some good novels to read,"['Can', 'you', 'Suggest', 'me', 'some', 'good', 'novels', 'to', 'read?']","{'good', 'Suggest', 'novels', 'read?', 'Can'}","{'you', 'some', 'to', 'me'}"
914,What would it be like to have a foursome?,what would it be like to have a foursome,"['What', 'would', 'it', 'be', 'like', 'to', 'have', 'a', 'foursome?']","{'foursome?', 'would', 'like', 'What'}","{'be', 'to', 'have', 'a', 'it'}"
915,Is it legal in India for two legally married couples (2 men and 2 women) to have sex together in the same room and do a foursome?,is it legal in india for two legally married couples  2 men and 2 women  to have sex together in the same room and do a foursome,"['Is', 'it', 'legal', 'in', 'India', 'for', 'two', 'legally', 'married', 'couples', '(2', 'men', 'and', '2', 'women)', 'to', 'have', 'sex', 'together', 'in', 'the', 'same', 'room', 'and', 'do', 'a', 'foursome?']","{'(2', 'men', 'couples', 'women)', 'together', 'sex', 'foursome?', 'Is', '2', 'two', 'room', 'legal', 'legally', 'India', 'married'}","{'for', 'to', 'do', 'have', 'a', 'in', 'and', 'it', 'the', 'same'}"
916,Where can I know about the top hotels in Bhopal?,where can i know about the top hotels in bhopal,"['Where', 'can', 'I', 'know', 'about', 'the', 'top', 'hotels', 'in', 'Bhopal?']","{'hotels', 'top', 'Bhopal?', 'Where', 'know', 'I'}","{'in', 'can', 'the', 'about'}"
917,How would I know about the top hotels in Bhopal?,how would i know about the top hotels in bhopal,"['How', 'would', 'I', 'know', 'about', 'the', 'top', 'hotels', 'in', 'Bhopal?']","{'would', 'hotels', 'How', 'top', 'Bhopal?', 'know', 'I'}","{'in', 'the', 'about'}"
918,How does Australia's cigarette plain packaging legislation breach Article III(4) of the GATT regarding National Treatment?,how does australia s cigarette plain packaging legislation breach article iii 4  of the gatt regarding national treatment,"['How', 'does', ""Australia's"", 'cigarette', 'plain', 'packaging', 'legislation', 'breach', 'Article', 'III(4)', 'of', 'the', 'GATT', 'regarding', 'National', 'Treatment?']","{""Australia's"", 'packaging', 'National', 'How', 'Article', 'breach', 'regarding', 'III(4)', 'Treatment?', 'GATT', 'cigarette', 'plain', 'legislation'}","{'of', 'does', 'the'}"
919,How did Australia become the world's only continent-sized nation?,how did australia become the world s only continent sized nation,"['How', 'did', 'Australia', 'become', 'the', ""world's"", 'only', 'continent-sized', 'nation?']","{'become', ""world's"", 'Australia', 'How', 'continent-sized', 'nation?'}","{'did', 'only', 'the'}"
920,Can I pay by cash to ola?,can i pay by cash to ola,"['Can', 'I', 'pay', 'by', 'cash', 'to', 'ola?']","{'Can', 'pay', 'ola?', 'I', 'cash'}","{'by', 'to'}"
921,Why do we bias the emitterbase junction of a BJT with a battery Veb which is nothing but potential barrier between emitter-base junction diode?,why do we bias the emitterbase junction of a bjt with a battery veb which is nothing but potential barrier between emitter base junction diode,"['Why', 'do', 'we', 'bias', 'the', 'emitterbase', 'junction', 'of', 'a', 'BJT', 'with', 'a', 'battery', 'Veb', 'which', 'is', 'nothing', 'but', 'potential', 'barrier', 'between', 'emitter-base', 'junction', 'diode?']","{'bias', 'junction', 'battery', 'Why', 'Veb', 'diode?', 'emitterbase', 'nothing', 'emitter-base', 'BJT', 'barrier', 'potential'}","{'of', 'which', 'between', 'with', 'do', 'but', 'a', 'is', 'the', 'we'}"
922,How does drawing help in developing design skills and knowledge?,how does drawing help in developing design skills and knowledge,"['How', 'does', 'drawing', 'help', 'in', 'developing', 'design', 'skills', 'and', 'knowledge?']","{'knowledge?', 'help', 'How', 'design', 'drawing', 'developing', 'skills'}","{'does', 'in', 'and'}"
923,How does drawing help in developing design skills/knowledge?,how does drawing help in developing design skills knowledge,"['How', 'does', 'drawing', 'help', 'in', 'developing', 'design', 'skills/knowledge?']","{'help', 'How', 'design', 'drawing', 'developing', 'skills/knowledge?'}","{'does', 'in'}"
924,What are the reasons that people regret getting their tattoos?,what are the reasons that people regret getting their tattoos,"['What', 'are', 'the', 'reasons', 'that', 'people', 'regret', 'getting', 'their', 'tattoos?']","{'regret', 'getting', 'reasons', 'What', 'tattoos?', 'people'}","{'are', 'their', 'that', 'the'}"
925,What tattoos do you have that you regret and why do you regret getting the tattoo?,what tattoos do you have that you regret and why do you regret getting the tattoo,"['What', 'tattoos', 'do', 'you', 'have', 'that', 'you', 'regret', 'and', 'why', 'do', 'you', 'regret', 'getting', 'the', 'tattoo?']","{'regret', 'tattoo?', 'getting', 'What', 'tattoos'}","{'you', 'why', 'do', 'have', 'and', 'the', 'that'}"
926,Which is a suitable inpatient drug and alcohol rehab center in Mchenry County IL?,which is a suitable inpatient drug and alcohol rehab center in mchenry county il,"['Which', 'is', 'a', 'suitable', 'inpatient', 'drug', 'and', 'alcohol', 'rehab', 'center', 'in', 'Mchenry', 'County', 'IL?']","{'center', 'Which', 'alcohol', 'County', 'Mchenry', 'drug', 'suitable', 'IL?', 'rehab', 'inpatient'}","{'in', 'a', 'and', 'is'}"
927,What is a suitable inpatient drug and alcohol rehab center in Lake County IL?,what is a suitable inpatient drug and alcohol rehab center in lake county il,"['What', 'is', 'a', 'suitable', 'inpatient', 'drug', 'and', 'alcohol', 'rehab', 'center', 'in', 'Lake', 'County', 'IL?']","{'center', 'alcohol', 'What', 'County', 'drug', 'Lake', 'suitable', 'IL?', 'rehab', 'inpatient'}","{'in', 'a', 'and', 'is'}"
928,What I will learn in information technology (btech) at MIT MANIPAL?,what i will learn in information technology  btech  at mit manipal,"['What', 'I', 'will', 'learn', 'in', 'information', 'technology', '(btech)', 'at', 'MIT', 'MANIPAL?']","{'MANIPAL?', 'I', 'learn', 'What', 'MIT', 'information', '(btech)', 'technology'}","{'at', 'in', 'will'}"
929,"If I have written a great low budget thriller, how can I attract local actors and crew to make it with me?",if i have written a great low budget thriller  how can i attract local actors and crew to make it with me,"['If', 'I', 'have', 'written', 'a', 'great', 'low', 'budget', 'thriller,', 'how', 'can', 'I', 'attract', 'local', 'actors', 'and', 'crew', 'to', 'make', 'it', 'with', 'me?']","{'me?', 'actors', 'thriller,', 'attract', 'written', 'low', 'budget', 'If', 'crew', 'local', 'make', 'I', 'great'}","{'with', 'to', 'have', 'a', 'how', 'and', 'it', 'can'}"
930,What is the easiest way to take green card?,what is the easiest way to take green card,"['What', 'is', 'the', 'easiest', 'way', 'to', 'take', 'green', 'card?']","{'way', 'green', 'What', 'take', 'card?', 'easiest'}","{'is', 'to', 'the'}"
931,Who can help me get an America green card?,who can help me get an america green card,"['Who', 'can', 'help', 'me', 'get', 'an', 'America', 'green', 'card?']","{'green', 'get', 'help', 'card?', 'America', 'Who'}","{'can', 'an', 'me'}"
932,How can I be successful as an indie game developer?,how can i be successful as an indie game developer,"['How', 'can', 'I', 'be', 'successful', 'as', 'an', 'indie', 'game', 'developer?']","{'developer?', 'indie', 'How', 'successful', 'game', 'I'}","{'be', 'can', 'an', 'as'}"
933,What steps should I take to become a successful indie game developer?,what steps should i take to become a successful indie game developer,"['What', 'steps', 'should', 'I', 'take', 'to', 'become', 'a', 'successful', 'indie', 'game', 'developer?']","{'become', 'developer?', 'indie', 'steps', 'successful', 'What', 'take', 'game', 'I'}","{'a', 'should', 'to'}"
934,Hindustani Classical Music: What are some 'Bandishs' used in Hindi films?,hindustani classical music  what are some  bandishs  used in hindi films,"['Hindustani', 'Classical', 'Music:', 'What', 'are', 'some', ""'Bandishs'"", 'used', 'in', 'Hindi', 'films?']","{'used', 'Classical', 'Hindustani', 'Music:', 'films?', 'What', ""'Bandishs'"", 'Hindi'}","{'are', 'in', 'some'}"
935,How can I find the background music of the Hindi film Queen (2013)?,how can i find the background music of the hindi film queen  2013,"['How', 'can', 'I', 'find', 'the', 'background', 'music', 'of', 'the', 'Hindi', 'film', 'Queen', '(2013)?']","{'find', 'film', 'music', '(2013)?', 'How', 'Queen', 'background', 'I', 'Hindi'}","{'of', 'can', 'the'}"
936,What is the best way to hide a body?,what is the best way to hide a body,"['What', 'is', 'the', 'best', 'way', 'to', 'hide', 'a', 'body?']","{'body?', 'way', 'What', 'best', 'hide'}","{'a', 'is', 'to', 'the'}"
937,What is the best place to hide a body?,what is the best place to hide a body,"['What', 'is', 'the', 'best', 'place', 'to', 'hide', 'a', 'body?']","{'body?', 'place', 'best', 'What', 'hide'}","{'a', 'is', 'to', 'the'}"
938,What exactly is the most important thing in life?,what exactly is the most important thing in life,"['What', 'exactly', 'is', 'the', 'most', 'important', 'thing', 'in', 'life?']","{'life?', 'exactly', 'What', 'thing', 'important'}","{'most', 'in', 'is', 'the'}"
939,What are the most important things in life? And why?,what are the most important things in life  and why,"['What', 'are', 'the', 'most', 'important', 'things', 'in', 'life?', 'And', 'why?']","{'things', 'life?', 'And', 'What', 'why?', 'important'}","{'are', 'most', 'in', 'the'}"
940,What are your favourite podcasts?,what are your favourite podcasts,"['What', 'are', 'your', 'favourite', 'podcasts?']","{'favourite', 'podcasts?', 'What'}","{'are', 'your'}"
941,What's your favourite podcast and why?,what is your favourite podcast and why,"[""What's"", 'your', 'favourite', 'podcast', 'and', 'why?']","{'why?', 'favourite', ""What's"", 'podcast'}","{'and', 'your'}"
942,Is an electron beam deflected by strong light?,is an electron beam deflected by strong light,"['Is', 'an', 'electron', 'beam', 'deflected', 'by', 'strong', 'light?']","{'strong', 'deflected', 'light?', 'electron', 'Is', 'beam'}","{'by', 'an'}"
943,If an eccentric load is applied on a beam what is the deflection if the force is 20 N . also how long does the beam have to be (list formulas to use)?,if an eccentric load is applied on a beam what is the deflection if the force is 20 n   also how long does the beam have to be  list formulas to use,"['If', 'an', 'eccentric', 'load', 'is', 'applied', 'on', 'a', 'beam', 'what', 'is', 'the', 'deflection', 'if', 'the', 'force', 'is', '20', 'N', '.', 'also', 'how', 'long', 'does', 'the', 'beam', 'have', 'to', 'be', '(list', 'formulas', 'to', 'use)?']","{'force', 'long', '(list', 'deflection', 'also', 'beam', 'load', 'N', '20', '.', 'If', 'formulas', 'eccentric', 'applied', 'use)?'}","{'be', 'to', 'if', 'have', 'a', 'how', 'is', 'the', 'does', 'on', 'what', 'an'}"
944,What are (is) the dominant resonance contributor(s) of dinitrogen monoxide N2O?,what are  is  the dominant resonance contributor s  of dinitrogen monoxide n2o,"['What', 'are', '(is)', 'the', 'dominant', 'resonance', 'contributor(s)', 'of', 'dinitrogen', 'monoxide', 'N2O?']","{'(is)', 'contributor(s)', 'What', 'resonance', 'monoxide', 'dinitrogen', 'N2O?', 'dominant'}","{'are', 'of', 'the'}"
945,What is it like to get carbon monoxide poisoning?,what is it like to get carbon monoxide poisoning,"['What', 'is', 'it', 'like', 'to', 'get', 'carbon', 'monoxide', 'poisoning?']","{'carbon', 'get', 'poisoning?', 'What', 'like', 'monoxide'}","{'is', 'to', 'it'}"
946,How can I became an entrepreneur? I am studying in class 12 right now,how can i became an entrepreneur  i am studying in class 12 right now,"['How', 'can', 'I', 'became', 'an', 'entrepreneur?', 'I', 'am', 'studying', 'in', 'class', '12', 'right', 'now']","{'I', 'entrepreneur?', 'How', 'class', 'right', 'became', '12', 'studying'}","{'in', 'now', 'am', 'can', 'an'}"
947,How can I become an entrepreneur as I am studying in class -12 right now?,how can i become an entrepreneur as i am studying in class  12 right now,"['How', 'can', 'I', 'become', 'an', 'entrepreneur', 'as', 'I', 'am', 'studying', 'in', 'class', '-12', 'right', 'now?']","{'become', 'entrepreneur', 'I', 'How', 'class', 'right', 'now?', 'studying', '-12'}","{'in', 'am', 'can', 'an', 'as'}"
